borehole_name,eno
,636196
10WP36,
,636189
,636190
,636197
,636188
,636205
,636191
,636185
,636203
,636192
,627062
13BP01D,
17BP01I,
17BP03I,
17BP04I,
17BP05I,
17BP06I,
17BP07D,
KC13,
KC14,
KC3PB,
,635957
,635958
,635959
,635960
Ord24,636194
RN007412,
RN029653,
RN029656,
RN29660,
RN029662,
RN29663,
RN029665,
RN029666,
RN029933,
RN029945,
RN030826,
RN030884,
RN034821,
RN038543,
WBS1155,636193
WBS5080,
17BP02-I,
18BP01-D,635923
18BP07-D,
18BP13-D,
KR08,
KR21a,
KR21b,
KR23,
KR30,
KR31,
KR33,
KR36,
KR38,
KR40,
KR45,
KR46,
KR48,
KR49,
KR50A,
KR50b,
KR51A,
KR51B,
KR54,
KR55,
KR58,
KR61,
RN006504,
RN017339,
RN017393,
RN017536,
RN017537,
RN018334,
RN019387,
RN019673,
SSC18-40,
RN019676,
RN019678,
RN020614,
RN021717,
RN022394,
RN025285,
RN025288,
RN028782,
RN029430,
RN032750,
RN033033,
RN033035,
RN033039,
RN033132,
RN033308,
RN034364,
RN034596,
RN036813,
RN036815,
RN037041,
RN037048,
RN037338,
RN037411,
RN037412,
RN037413,
RN037769,
RN020967,
RN021012,
RN021396,
RN021762,
RN021765,
RN021768,
RN021769,
,636259
,636260
,636267
,636258
,636270
,636264
,636274
,636272
,636266
,628380
,628379
,636269
,628378
,536538
,536539
,628377
,628376
,628375
,628374
,621386
,621385
,621384
,621383
,621382
,641189
,628366
,628367
,628369
,628364
,628370
,628363
,628365
,628368
,636124
,628355
,628354
,621379
,628358
,628359
,628357
,628356
,628360
,628361
,628362
SSC18-38,
SSC18-35,
SSC18-17a,
SSC18-39,
SSC18-16,
SSC18-23,
SSC18-60,
SSC18-62,
SSC18-54,
